sensor_index,name,location_type,model,hardware,latitude,longitude
33027,Lagos del Bosque,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.600061,-100.26256
33117,Liceo de Monterrey,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.650322,-100.32849
34441,Callejon de los Ayala,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.6665,-100.3976
34499,San Patricio #106,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.641743,-100.3472
34511,Rosario,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.640432,-100.392265
36709,San Roberto International School Campus San Agustin,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.645615,-100.3372
42211,RF,1,PA-I,2.0+BME280+PMSX003-A,25.61638,-100.316124
43627,Liceo de Monterrey Rosemont,0,PA-II-SD,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.6778,-100.3516
45769,Huascaran,0,PA-II-SD,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.637255,-100.399216
46599,Esponosa,1,PA-I,2.0+BME280+PMSX003-A,25.678625,-100.31967
47233,Colegio Israelita de Mty,0,PA-II-SD,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.693445,-100.35304
49949,El Horizonte,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.677492,-100.29761
50555,Treviño,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.638243,-100.36743
50871,TEC Garza Laguera,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,25.61827,-100.27293
60027,Torre Koi,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,25.641954,-100.32199
62831,Koi IdeI,1,PA-I,2.0+BME280+PMSX003-A,25.64202,-100.322105
71091,JNAirCare,1,PA-I,2.0+BME280+PMSX003-A,25.646965,-100.38512
84411,Sima UANL,0,PA-II-SD,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.729715,-100.31027
93711,Sima Prepa Militarizada,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,25.762922,-100.36954
119965,Grupo Reforma El Norte,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.674164,-100.30816
121719,GrupoReforma La Silla,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.637156,-100.273186
